head,relation,tail,label,modification,assertion
PersonX does better in school,oReact,PersonX intended to succeed,0,1,"PersonX does better in school, thus as a result on PersonY's emotion, PersonX intended to succeed"
PersonX gives ___ a warning,xNeed,PersonX walk up to them,1,0,The event PersonX gives ___ a warning will not happen unless PersonX walk up to them
PersonX has to take PersonY to the hospital,xNeed,PersonX stop the bleeding,1,0,The event PersonX has to take PersonY to the hospital will not happen unless PersonX stop the bleeding
PersonX replaces the tire,xIntent,PersonX intended to fix a flat,1,0,"PersonX replaces the tire, thus it can be seen about PersonX's intention that PersonX intended to fix a flat"
PersonX rings PersonY,xAttr,PersonX be friendly,1,0,"PersonX rings PersonY, thus it can be seen about PersonX's attribute that PersonX be friendly"
PersonX comes of age,oReact,PersonX be successful,0,1,"PersonX comes of age, thus as a result on PersonY's emotion, PersonX be successful"
PersonX loves PersonY's work,oReact,PersonX see y work,0,2,"PersonX loves PersonY's work, thus as a result on PersonY's emotion, PersonX see y work"
PersonX makes thanksgiving dinner,xIntent,PersonX intended to family and friends to come,1,0,"PersonX makes thanksgiving dinner, thus it can be seen about PersonX's intention that PersonX intended to family and friends to come"
PersonX sends a letter,xAttr,PersonX write a letter,0,2,"PersonX sends a letter, thus it can be seen about PersonX's attribute that PersonX write a letter"
friendship,xNeed,PersonX communication,1,0,The event friendship will not happen unless PersonX communication
PersonX gets PersonX's nails done,xIntent,PersonX intended to pretty ,1,0,"PersonX gets PersonX's nails done, thus it can be seen about PersonX's intention that PersonX intended to pretty "
PersonX scrambles eggs for breakfast,xAttr,PersonX be skilled,1,0,"PersonX scrambles eggs for breakfast, thus it can be seen about PersonX's attribute that PersonX be skilled"
PersonX shows schematically in fig,xReact,PersonX be analytical,0,1,"PersonX shows schematically in fig, thus as a result on PersonX's emotion, PersonX be analytical"
PersonX forms PersonY impression,xNeed,PersonX guide persony,1,0,The event PersonX forms PersonY impression will not happen unless PersonX guide persony
PersonX follows the instructions,xIntent,PersonX listen to the instructions,0,2,"PersonX follows the instructions, thus it can be seen about PersonX's intention that PersonX listen to the instructions"
PersonX loves reading books,xAttr,PersonX be nerdy,1,0,"PersonX loves reading books, thus it can be seen about PersonX's attribute that PersonX be nerdy"
PersonX sits and watch ___,xAttr,PersonX feel refreshed,0,1,"PersonX sits and watch ___, thus it can be seen about PersonX's attribute that PersonX feel refreshed"
PersonX makes PersonY part,xReact,PersonX be generous,0,1,"PersonX makes PersonY part, thus as a result on PersonX's emotion, PersonX be generous"
PersonX says PersonY's goodbyes,xAttr,PersonX be talkative,1,0,"PersonX says PersonY's goodbyes, thus it can be seen about PersonX's attribute that PersonX be talkative"
PersonX not knows which end is up,xIntent,PersonX feel confused,0,1,"PersonX not knows which end is up, thus it can be seen about PersonX's intention that PersonX feel confused"
PersonX takes things,xIntent,PersonX be a thief,0,1,"PersonX takes things, thus it can be seen about PersonX's intention that PersonX be a thief"
PersonX plays many games,xAttr,PersonX turn on game station,0,1,"PersonX plays many games, thus it can be seen about PersonX's attribute that PersonX turn on game station"
PersonX makes the cookies,xIntent,PersonX intended to reveal his cooking skills,1,0,"PersonX makes the cookies, thus it can be seen about PersonX's intention that PersonX intended to reveal his cooking skills"
PersonX closes that day,xAttr,PersonX feel responsible,0,1,"PersonX closes that day, thus it can be seen about PersonX's attribute that PersonX feel responsible"
PersonX lifts PersonY's leg,xIntent,PersonX intended to move,1,0,"PersonX lifts PersonY's leg, thus it can be seen about PersonX's intention that PersonX intended to move"
PersonX puts on PersonX's hat,xNeed,PersonX put it on their head,1,0,The event PersonX puts on PersonX's hat will not happen unless PersonX put it on their head
PersonX asks PersonY to sit down,oReact,PersonX be polite,0,1,"PersonX asks PersonY to sit down, thus as a result on PersonY's emotion, PersonX be polite"
PersonX gets a second opinion,xAttr,PersonX be friendly,1,0,"PersonX gets a second opinion, thus it can be seen about PersonX's attribute that PersonX be friendly"
thaw roast,xNeed,PersonX remove from freezer,1,0,The event thaw roast will not happen unless PersonX remove from freezer
PersonX loses PersonX's sense,oReact,PersonX feel out of control,0,1,"PersonX loses PersonX's sense, thus as a result on PersonY's emotion, PersonX feel out of control"
PersonX makes the shot,xIntent,PersonX practices for the game,0,2,"PersonX makes the shot, thus it can be seen about PersonX's intention that PersonX practices for the game"
PersonX gives PersonY warning,xAttr,PersonX be caring,1,0,"PersonX gives PersonY warning, thus it can be seen about PersonX's attribute that PersonX be caring"
PersonX goes to work in the morning,xNeed,PersonX get ready for work,1,0,The event PersonX goes to work in the morning will not happen unless PersonX get ready for work
PersonX hides under the covers,xIntent,PersonX intended to be hidden,1,0,"PersonX hides under the covers, thus it can be seen about PersonX's intention that PersonX intended to be hidden"
PersonX spends hours,xIntent,PersonX be tolerant,0,2,"PersonX spends hours, thus it can be seen about PersonX's intention that PersonX be tolerant"
PersonX wants to learn to swim,xNeed,PersonX buy a bathing suit,1,0,The event PersonX wants to learn to swim will not happen unless PersonX buy a bathing suit
PersonX takes down a peg,xAttr,PersonX feel superior,0,2,"PersonX takes down a peg, thus it can be seen about PersonX's attribute that PersonX feel superior"
PersonX bullies in school,xNeed,PersonX feel satisfied,0,2,The event PersonX bullies in school will not happen unless PersonX feel satisfied
PersonX starts a band,xReact,PersonX feel satisfied,1,0,"PersonX starts a band, thus as a result on PersonX's emotion, PersonX feel satisfied"
PersonX congratulates PersonY,xAttr,PersonX feel happy,0,2,"PersonX congratulates PersonY, thus it can be seen about PersonX's attribute that PersonX feel happy"
PersonX rides PersonY's bikes,xReact,PersonX be strong,0,1,"PersonX rides PersonY's bikes, thus as a result on PersonX's emotion, PersonX be strong"
PersonX finds ___ that PersonY liked,oReact,PersonX intended to show they care,0,1,"PersonX finds ___ that PersonY liked, thus as a result on PersonY's emotion, PersonX intended to show they care"
PersonX talks to people,xNeed,PersonX have communication skills,1,0,The event PersonX talks to people will not happen unless PersonX have communication skills
PersonX eats ___ very quickly,xIntent,PersonX feel rushed,0,2,"PersonX eats ___ very quickly, thus it can be seen about PersonX's intention that PersonX feel rushed"
PersonX walks to the bathroom,xNeed,PersonX have eaten breakfast,1,0,The event PersonX walks to the bathroom will not happen unless PersonX have eaten breakfast
PersonX sits next to PersonY,xReact,PersonX intended to eat food with the person,0,1,"PersonX sits next to PersonY, thus as a result on PersonX's emotion, PersonX intended to eat food with the person"
PersonX catches PersonY eye,xAttr,PersonX be interesting,1,0,"PersonX catches PersonY eye, thus it can be seen about PersonX's attribute that PersonX be interesting"
PersonX visits PersonX's mother,xNeed,PersonX call her first,1,0,The event PersonX visits PersonX's mother will not happen unless PersonX call her first
PersonX murders PersonY,xAttr,PersonX be insane,1,0,"PersonX murders PersonY, thus it can be seen about PersonX's attribute that PersonX be insane"
PersonX pays ___ to the government,xNeed,PersonX intended to extra fine ,0,2,The event PersonX pays ___ to the government will not happen unless PersonX intended to extra fine 
PersonX grinds for a week,xReact,PersonX intended to finish work,0,1,"PersonX grinds for a week, thus as a result on PersonX's emotion, PersonX intended to finish work"
PersonX meets PersonX's customers ' ___,xAttr,PersonX be dutiful,1,0,"PersonX meets PersonX's customers ' ___, thus it can be seen about PersonX's attribute that PersonX be dutiful"
PersonX follows the recipe exactly,xAttr,PersonX intended to tasty food ,0,1,"PersonX follows the recipe exactly, thus it can be seen about PersonX's attribute that PersonX intended to tasty food "
PersonX asks PersonY for money,xAttr,PersonX notice they are out of money,0,1,"PersonX asks PersonY for money, thus it can be seen about PersonX's attribute that PersonX notice they are out of money"
PersonX drives to the beach,xAttr,PersonX be fun,1,0,"PersonX drives to the beach, thus it can be seen about PersonX's attribute that PersonX be fun"
PersonX rejects PersonY,xAttr,PersonX intended to be exclusive,0,2,"PersonX rejects PersonY, thus it can be seen about PersonX's attribute that PersonX intended to be exclusive"
PersonX puts it in PersonX's purse,xReact,PersonX feel organized,1,0,"PersonX puts it in PersonX's purse, thus as a result on PersonX's emotion, PersonX feel organized"
eat pie,xAttr,PersonX bake one,0,1,"eat pie, thus it can be seen about PersonX's attribute that PersonX bake one"
PersonX has a wonderful time on PersonX's trip,xIntent,PersonX intended to have fun,1,0,"PersonX has a wonderful time on PersonX's trip, thus it can be seen about PersonX's intention that PersonX intended to have fun"
PersonX brings ___ to a head,xIntent,PersonX intended to resolve all issues,1,0,"PersonX brings ___ to a head, thus it can be seen about PersonX's intention that PersonX intended to resolve all issues"
PersonX leaves it at that,xNeed,PersonX not have anything else to say,1,0,The event PersonX leaves it at that will not happen unless PersonX not have anything else to say
PersonX quickly fell,xNeed,PersonX feel pain,0,2,The event PersonX quickly fell will not happen unless PersonX feel pain
PersonX throws ___ at the tv,xIntent,PersonX feel guilty,0,2,"PersonX throws ___ at the tv, thus it can be seen about PersonX's intention that PersonX feel guilty"
PersonX hears a scary noise,xAttr,PersonX feel worried,0,2,"PersonX hears a scary noise, thus it can be seen about PersonX's attribute that PersonX feel worried"
PersonX touches every ___,xNeed,PersonX decide what personx needs to touch,1,0,The event PersonX touches every ___ will not happen unless PersonX decide what personx needs to touch
PersonX watches scary movies,xIntent,PersonX intended to be scared ,1,0,"PersonX watches scary movies, thus it can be seen about PersonX's intention that PersonX intended to be scared "
PersonX pumps PersonY's gas,oReact,PersonX be nice,0,1,"PersonX pumps PersonY's gas, thus as a result on PersonY's emotion, PersonX be nice"
PersonX drops a log,xNeed,PersonX be bound up,1,0,The event PersonX drops a log will not happen unless PersonX be bound up
PersonX hits the headlines,xNeed,PersonX of done something good,1,0,The event PersonX hits the headlines will not happen unless PersonX of done something good
compute sum,xReact,PersonX enter summands into calculator,0,1,"compute sum, thus as a result on PersonX's emotion, PersonX enter summands into calculator"
PersonX loves the dog,oReact,PersonX feel happy,0,1,"PersonX loves the dog, thus as a result on PersonY's emotion, PersonX feel happy"
PersonX arches PersonY's back,xNeed,PersonX intended to help someone work out,0,2,The event PersonX arches PersonY's back will not happen unless PersonX intended to help someone work out
PersonX sets ___ to rights,oReact,PersonX figure it out,0,1,"PersonX sets ___ to rights, thus as a result on PersonY's emotion, PersonX figure it out"
PersonX rains on PersonX's parade,xNeed,PersonX be conniving,0,1,The event PersonX rains on PersonX's parade will not happen unless PersonX be conniving
PersonX calls PersonY this morning,xAttr,PersonX be caring,1,0,"PersonX calls PersonY this morning, thus it can be seen about PersonX's attribute that PersonX be caring"
PersonX gets a call from PersonY's boss,xIntent,PersonX hear the phone ring,0,1,"PersonX gets a call from PersonY's boss, thus it can be seen about PersonX's intention that PersonX hear the phone ring"
PersonX improves PersonX's appearance,xIntent,PersonX intended to feel better about themselves ,1,0,"PersonX improves PersonX's appearance, thus it can be seen about PersonX's intention that PersonX intended to feel better about themselves "
PersonX catches my eye,xReact,PersonX feel feel pain and unhappy,1,0,"PersonX catches my eye, thus as a result on PersonX's emotion, PersonX feel feel pain and unhappy"
PersonX decides to order pizza,xReact,PersonX intended to not be hungry,0,2,"PersonX decides to order pizza, thus as a result on PersonX's emotion, PersonX intended to not be hungry"
PersonX turns the tables,xNeed,PersonX be fair,0,2,The event PersonX turns the tables will not happen unless PersonX be fair
PersonX stretches out PersonX's hand,xAttr,PersonX intended to stretch,0,2,"PersonX stretches out PersonX's hand, thus it can be seen about PersonX's attribute that PersonX intended to stretch"
PersonX fails to even go platinum,xReact,PersonX feel disappointed,1,0,"PersonX fails to even go platinum, thus as a result on PersonX's emotion, PersonX feel disappointed"
PersonX brings ___ to PersonX's eyes,xReact,PersonX intended to cry,0,1,"PersonX brings ___ to PersonX's eyes, thus as a result on PersonX's emotion, PersonX intended to cry"
PersonX shaves every ___,xNeed,PersonX grow hair,1,0,The event PersonX shaves every ___ will not happen unless PersonX grow hair
PersonX skates around,xIntent,PersonX intended to exlore,1,0,"PersonX skates around, thus it can be seen about PersonX's intention that PersonX intended to exlore"
PersonX becomes a pilot,xIntent,PersonX study hard,0,2,"PersonX becomes a pilot, thus it can be seen about PersonX's intention that PersonX study hard"
remember,xNeed,PersonX hire sharp secretary,1,0,The event remember will not happen unless PersonX hire sharp secretary
PersonX takes a hike,xNeed,PersonX bring foods and drink,1,0,The event PersonX takes a hike will not happen unless PersonX bring foods and drink
PersonX changes PersonY's lives,xNeed,PersonX intended to ease difficulty,0,2,The event PersonX changes PersonY's lives will not happen unless PersonX intended to ease difficulty
PersonX reads PersonX's diary,xReact,PersonX intended to remind himself of his past,0,1,"PersonX reads PersonX's diary, thus as a result on PersonX's emotion, PersonX intended to remind himself of his past"
PersonX visits PersonY's daughter,oReact,PersonX be caring,0,1,"PersonX visits PersonY's daughter, thus as a result on PersonY's emotion, PersonX be caring"
PersonX is losing weight,xNeed,PersonX be overweight,1,0,The event PersonX is losing weight will not happen unless PersonX be overweight
PersonX makes PersonY assault,xAttr,PersonX have a reason why,0,1,"PersonX makes PersonY assault, thus it can be seen about PersonX's attribute that PersonX have a reason why"
PersonX dyes PersonX's hair red,xNeed,PersonX go to the salon,1,0,The event PersonX dyes PersonX's hair red will not happen unless PersonX go to the salon
PersonX holds on for dear life,xNeed,PersonX be a passenger in a vehicle,1,0,The event PersonX holds on for dear life will not happen unless PersonX be a passenger in a vehicle
PersonX finds PersonX's father,xReact,PersonX be helpful,0,1,"PersonX finds PersonX's father, thus as a result on PersonX's emotion, PersonX be helpful"
PersonX buys PersonX's one,xNeed,PersonX a pair of shoes,1,0,The event PersonX buys PersonX's one will not happen unless PersonX a pair of shoes
PersonX gives PersonY the impression,xNeed,PersonX communicate with persony,1,0,The event PersonX gives PersonY the impression will not happen unless PersonX communicate with persony
PersonX knows PersonY's opinion,xAttr,PersonX be articulate,1,0,"PersonX knows PersonY's opinion, thus it can be seen about PersonX's attribute that PersonX be articulate"
drive to work,xReact,PersonX put car keys in pocket,0,1,"drive to work, thus as a result on PersonX's emotion, PersonX put car keys in pocket"
PersonX goes down the tubes,xReact,PersonX a drink,0,1,"PersonX goes down the tubes, thus as a result on PersonX's emotion, PersonX a drink"
PersonX takes a step back,xIntent,PersonX feel cautious,0,2,"PersonX takes a step back, thus it can be seen about PersonX's intention that PersonX feel cautious"
PersonX pays PersonY well,xAttr,PersonX be caring,1,0,"PersonX pays PersonY well, thus it can be seen about PersonX's attribute that PersonX be caring"
PersonX catches the bus,xReact,PersonX check the schedule,0,1,"PersonX catches the bus, thus as a result on PersonX's emotion, PersonX check the schedule"
PersonX thinks it was beautiful,xReact,PersonX intended to show appreciation,0,2,"PersonX thinks it was beautiful, thus as a result on PersonX's emotion, PersonX intended to show appreciation"
PersonX waits all day,xIntent,PersonX intended to have his car fixed,1,0,"PersonX waits all day, thus it can be seen about PersonX's intention that PersonX intended to have his car fixed"
PersonX sees 's going on,xIntent,PersonX intended to spy ,1,0,"PersonX sees 's going on, thus it can be seen about PersonX's intention that PersonX intended to spy "
PersonX starves the ___ into submission,xNeed,PersonX love people,1,0,The event PersonX starves the ___ into submission will not happen unless PersonX love people
PersonX catches some rays,xIntent,PersonX go in the sun,0,1,"PersonX catches some rays, thus it can be seen about PersonX's intention that PersonX go in the sun"
PersonX takes PersonY decision,xNeed,PersonX talk to persony,1,0,The event PersonX takes PersonY decision will not happen unless PersonX talk to persony
PersonX feels unhappy,xNeed,PersonX be depressed,0,1,The event PersonX feels unhappy will not happen unless PersonX be depressed
PersonX spends PersonX's ___ working,xIntent,PersonX he gets on a ship,0,2,"PersonX spends PersonX's ___ working, thus it can be seen about PersonX's intention that PersonX he gets on a ship"
PersonX would like PersonY,xNeed,PersonX express his needs,1,0,The event PersonX would like PersonY will not happen unless PersonX express his needs
PersonX lets PersonY see,xNeed,PersonX be generous,0,2,The event PersonX lets PersonY see will not happen unless PersonX be generous
PersonX keeps PersonX's fingers crossed,xReact,PersonX be faithful,0,2,"PersonX keeps PersonX's fingers crossed, thus as a result on PersonX's emotion, PersonX be faithful"
PersonX grants women the ___,xAttr,PersonX intended to power ,0,1,"PersonX grants women the ___, thus it can be seen about PersonX's attribute that PersonX intended to power "
PersonX grants PersonY request,oReact,PersonX intended to persony to be happy ,0,1,"PersonX grants PersonY request, thus as a result on PersonY's emotion, PersonX intended to persony to be happy "
PersonX flies across the room,xNeed,PersonX run really fast,1,0,The event PersonX flies across the room will not happen unless PersonX run really fast
PersonX takes PersonY's toll,xIntent,PersonX go to work,0,2,"PersonX takes PersonY's toll, thus it can be seen about PersonX's intention that PersonX go to work"
PersonX skateboards with PersonY's friends,xAttr,PersonX intended to skateboard with people ,0,2,"PersonX skateboards with PersonY's friends, thus it can be seen about PersonX's attribute that PersonX intended to skateboard with people "
PersonX tells my mother,xNeed,PersonX intended to get me in trouble,0,1,The event PersonX tells my mother will not happen unless PersonX intended to get me in trouble
PersonX conveys PersonY impression,xAttr,PersonX know what y is trying to convey,0,1,"PersonX conveys PersonY impression, thus it can be seen about PersonX's attribute that PersonX know what y is trying to convey"
PersonX crosses the ___ to get,xNeed,PersonX be in a rush,1,0,The event PersonX crosses the ___ to get will not happen unless PersonX be in a rush
PersonX puts PersonX's ___ together,xNeed,PersonX learn how to make something,1,0,The event PersonX puts PersonX's ___ together will not happen unless PersonX learn how to make something
PersonX wins any money,xNeed,PersonX gamble,1,0,The event PersonX wins any money will not happen unless PersonX gamble
PersonX sits at PersonY's feet,xIntent,PersonX be sorry,0,2,"PersonX sits at PersonY's feet, thus it can be seen about PersonX's intention that PersonX be sorry"
PersonX forms PersonX's opinion,xIntent,PersonX intended to notice ,1,0,"PersonX forms PersonX's opinion, thus it can be seen about PersonX's intention that PersonX intended to notice "
PersonX puts it in PersonY's purse,xNeed,PersonX get item to put,1,0,The event PersonX puts it in PersonY's purse will not happen unless PersonX get item to put
PersonX takes the stage,xIntent,PersonX intended to perform,1,0,"PersonX takes the stage, thus it can be seen about PersonX's intention that PersonX intended to perform"
PersonX hurts like hell,xReact,PersonX feel achy,1,0,"PersonX hurts like hell, thus as a result on PersonX's emotion, PersonX feel achy"
PersonX has a dream last night,xNeed,PersonX go to sleep,1,0,The event PersonX has a dream last night will not happen unless PersonX go to sleep
PersonX sends PersonY off,xNeed,PersonX locate y,1,0,The event PersonX sends PersonY off will not happen unless PersonX locate y
PersonX returns to PersonX's state,xAttr,PersonX want to be back,0,1,"PersonX returns to PersonX's state, thus it can be seen about PersonX's attribute that PersonX want to be back"
PersonX smells terrible,xAttr,PersonX be sweaty,1,0,"PersonX smells terrible, thus it can be seen about PersonX's attribute that PersonX be sweaty"
PersonX asks PersonX's dad for help,xAttr,PersonX be emotional,1,0,"PersonX asks PersonX's dad for help, thus it can be seen about PersonX's attribute that PersonX be emotional"
PersonX throws PersonX's hat over the fence,xNeed,PersonX go to the fence,1,0,The event PersonX throws PersonX's hat over the fence will not happen unless PersonX go to the fence
PersonX has a say,xReact,PersonX feel like they mean something,1,0,"PersonX has a say, thus as a result on PersonX's emotion, PersonX feel like they mean something"
PersonX seems better,xReact,PersonX be hopeful,0,2,"PersonX seems better, thus as a result on PersonX's emotion, PersonX be hopeful"
PersonX pays ___ at the rate,xIntent,PersonX feel empty,0,2,"PersonX pays ___ at the rate, thus it can be seen about PersonX's intention that PersonX feel empty"
PersonX earns PersonY income,xNeed,PersonX feel happy,0,2,The event PersonX earns PersonY income will not happen unless PersonX feel happy
PersonX shows schematically in figure,xReact,PersonX be smart,0,1,"PersonX shows schematically in figure, thus as a result on PersonX's emotion, PersonX be smart"
PersonX gets a surprise,xReact,PersonX feel surprised,1,0,"PersonX gets a surprise, thus as a result on PersonX's emotion, PersonX feel surprised"
PersonX finds PersonY's ring,xNeed,PersonX be clear-sighted,0,1,The event PersonX finds PersonY's ring will not happen unless PersonX be clear-sighted
PersonX shakes the ___ to PersonY's foundations,xAttr,PersonX be mad at persony,0,2,"PersonX shakes the ___ to PersonY's foundations, thus it can be seen about PersonX's attribute that PersonX be mad at persony"
PersonX wraps PersonY's hand,xReact,PersonX get a bandage,0,1,"PersonX wraps PersonY's hand, thus as a result on PersonX's emotion, PersonX get a bandage"
PersonX delivers PersonY address,xAttr,PersonX be dutiful,1,0,"PersonX delivers PersonY address, thus it can be seen about PersonX's attribute that PersonX be dutiful"
PersonX copies PersonY,xAttr,PersonX feel happy,0,2,"PersonX copies PersonY, thus it can be seen about PersonX's attribute that PersonX feel happy"
PersonX gets paint,xNeed,PersonX feel excited,0,2,The event PersonX gets paint will not happen unless PersonX feel excited
PersonX wipes the slate clean,xNeed,PersonX gather cleaning materials,1,0,The event PersonX wipes the slate clean will not happen unless PersonX gather cleaning materials
PersonX gets everything ready,xNeed,PersonX intended to they are going on vacation ,0,1,The event PersonX gets everything ready will not happen unless PersonX intended to they are going on vacation 
PersonX buys PersonY a car,xAttr,PersonX take persony to pick out a car,0,2,"PersonX buys PersonY a car, thus it can be seen about PersonX's attribute that PersonX take persony to pick out a car"
PersonX loses track of time,xReact,PersonX feel lost,1,0,"PersonX loses track of time, thus as a result on PersonX's emotion, PersonX feel lost"
PersonX puts ___ in the oven,xIntent,PersonX intended to cook,1,0,"PersonX puts ___ in the oven, thus it can be seen about PersonX's intention that PersonX intended to cook"
PersonX fails all of PersonX's classes,xNeed,PersonX be lazy,1,0,The event PersonX fails all of PersonX's classes will not happen unless PersonX be lazy
PersonX falls into the wrong hands,xReact,PersonX be cautious,0,2,"PersonX falls into the wrong hands, thus as a result on PersonX's emotion, PersonX be cautious"
PersonX brings the ___ into disrepute,oReact,PersonX tell lies,0,1,"PersonX brings the ___ into disrepute, thus as a result on PersonY's emotion, PersonX tell lies"
stand up,xNeed,PersonX not sitting down,1,0,The event stand up will not happen unless PersonX not sitting down
PersonX gets close,xNeed,PersonX have a map,1,0,The event PersonX gets close will not happen unless PersonX have a map
PersonX practices together,xNeed,PersonX feel determined,0,2,The event PersonX practices together will not happen unless PersonX feel determined
PersonX cuts the crap,xIntent,PersonX intended to directly come to point,1,0,"PersonX cuts the crap, thus it can be seen about PersonX's intention that PersonX intended to directly come to point"
PersonX enters PersonY's car,xAttr,PersonX be attentive,1,0,"PersonX enters PersonY's car, thus it can be seen about PersonX's attribute that PersonX be attentive"
PersonX invites people over,xReact,PersonX intended to be around friends ,0,1,"PersonX invites people over, thus as a result on PersonX's emotion, PersonX intended to be around friends "
PersonX fears would lose,xNeed,PersonX pump yourself up,1,0,The event PersonX fears would lose will not happen unless PersonX pump yourself up
PersonX takes a step forward,xIntent,PersonX intended to claim that they're spartacus,1,0,"PersonX takes a step forward, thus it can be seen about PersonX's intention that PersonX intended to claim that they're spartacus"
PersonX sets things right,xNeed,PersonX intended to feel guilt free,0,2,The event PersonX sets things right will not happen unless PersonX intended to feel guilt free
PersonX provides PersonY analysis,xAttr,PersonX be invested,1,0,"PersonX provides PersonY analysis, thus it can be seen about PersonX's attribute that PersonX be invested"
PersonX replaces PersonX's old one,xReact,PersonX intended to a new one ,0,2,"PersonX replaces PersonX's old one, thus as a result on PersonX's emotion, PersonX intended to a new one "
PersonX leaves the table,xIntent,PersonX intended to show personx's frustrations with colleagues,1,0,"PersonX leaves the table, thus it can be seen about PersonX's intention that PersonX intended to show personx's frustrations with colleagues"
PersonX wants to play baseball,xNeed,PersonX practice with a team,1,0,The event PersonX wants to play baseball will not happen unless PersonX practice with a team
PersonX wants to learn a new language,xNeed,PersonX feel thirsty for knowledge,0,2,The event PersonX wants to learn a new language will not happen unless PersonX feel thirsty for knowledge
PersonX leaves PersonY's ___ alone,xIntent,PersonX feel good,0,1,"PersonX leaves PersonY's ___ alone, thus it can be seen about PersonX's intention that PersonX feel good"
PersonX bites the dust,xAttr,PersonX be sad,1,0,"PersonX bites the dust, thus it can be seen about PersonX's attribute that PersonX be sad"
PersonX practices hard,oReact,PersonX get the instrument ready,0,1,"PersonX practices hard, thus as a result on PersonY's emotion, PersonX get the instrument ready"
PersonX sees PersonY every ___,oReact,PersonX be friendly,0,1,"PersonX sees PersonY every ___, thus as a result on PersonY's emotion, PersonX be friendly"
PersonX looks a ___ in the face,xAttr,PersonX be confident,1,0,"PersonX looks a ___ in the face, thus it can be seen about PersonX's attribute that PersonX be confident"
PersonX pierces PersonY's ears,xAttr,PersonX be skilled,1,0,"PersonX pierces PersonY's ears, thus it can be seen about PersonX's attribute that PersonX be skilled"
PersonX finds the shoes,xNeed,PersonX intended to she is barefoot ,0,1,The event PersonX finds the shoes will not happen unless PersonX intended to she is barefoot 
PersonX orders delivery food,xIntent,PersonX intended to be hungry ,1,0,"PersonX orders delivery food, thus it can be seen about PersonX's intention that PersonX intended to be hungry "
PersonX uses the ___ to describe,oReact,PersonX be brave enough to deal the problems,0,1,"PersonX uses the ___ to describe, thus as a result on PersonY's emotion, PersonX be brave enough to deal the problems"
PersonX weeps like a PersonY,xNeed,PersonX be compassionate,0,2,The event PersonX weeps like a PersonY will not happen unless PersonX be compassionate
PersonX contains PersonY number,xNeed,PersonX be hopeful,0,2,The event PersonX contains PersonY number will not happen unless PersonX be hopeful
PersonX gets burned,xReact,PersonX feel pain,1,0,"PersonX gets burned, thus as a result on PersonX's emotion, PersonX feel pain"
PersonX catches PersonX's bus,xIntent,PersonX feel relief,0,2,"PersonX catches PersonX's bus, thus it can be seen about PersonX's intention that PersonX feel relief"
PersonX wears PersonY's boots,xAttr,PersonX be thoughtful,1,0,"PersonX wears PersonY's boots, thus it can be seen about PersonX's attribute that PersonX be thoughtful"
PersonX quickly went,xIntent,PersonX feel good,0,2,"PersonX quickly went, thus it can be seen about PersonX's intention that PersonX feel good"
PersonX makes contact with PersonY,xAttr,PersonX be friendly,1,0,"PersonX makes contact with PersonY, thus it can be seen about PersonX's attribute that PersonX be friendly"
PersonX realizes that PersonY was lost,xNeed,PersonX of watched persony,1,0,The event PersonX realizes that PersonY was lost will not happen unless PersonX of watched persony
PersonX is in a good mood,oReact,PersonX feel happy,0,1,"PersonX is in a good mood, thus as a result on PersonY's emotion, PersonX feel happy"
PersonX pulls PersonY's hand,xNeed,PersonX he goes to the store,1,0,The event PersonX pulls PersonY's hand will not happen unless PersonX he goes to the store
PersonX picks blueberries,xReact,PersonX feel full,1,0,"PersonX picks blueberries, thus as a result on PersonX's emotion, PersonX feel full"
PersonX wouldnt hurts a fly,xAttr,PersonX be kind,1,0,"PersonX wouldnt hurts a fly, thus it can be seen about PersonX's attribute that PersonX be kind"
PersonX pisses up a rope,xNeed,PersonX exercise,1,0,The event PersonX pisses up a rope will not happen unless PersonX exercise
PersonX hits PersonY's friend,xAttr,PersonX intended to injure the friend,0,2,"PersonX hits PersonY's friend, thus it can be seen about PersonX's attribute that PersonX intended to injure the friend"
PersonX offer ___ to god,xAttr,PersonX intended to try to get students' ,0,1,"PersonX offer ___ to god, thus it can be seen about PersonX's attribute that PersonX intended to try to get students' "
PersonX enjoys swimming,xReact,PersonX feel happy,1,0,"PersonX enjoys swimming, thus as a result on PersonX's emotion, PersonX feel happy"
PersonX starts walking,xIntent,PersonX intended to exercise,1,0,"PersonX starts walking, thus it can be seen about PersonX's intention that PersonX intended to exercise"
PersonX rests ___ on PersonY's shoulder,xAttr,PersonX feel relaxed,0,2,"PersonX rests ___ on PersonY's shoulder, thus it can be seen about PersonX's attribute that PersonX feel relaxed"
PersonX provides PersonY account,xNeed,PersonX login information,1,0,The event PersonX provides PersonY account will not happen unless PersonX login information
PersonX gets the shoes,xIntent,PersonX feel good,0,2,"PersonX gets the shoes, thus it can be seen about PersonX's intention that PersonX feel good"
PersonX pours PersonX's heart,oReact,PersonX open his mouth,0,1,"PersonX pours PersonX's heart, thus as a result on PersonY's emotion, PersonX open his mouth"
PersonX exercises every day,xIntent,PersonX wake up early,0,2,"PersonX exercises every day, thus it can be seen about PersonX's intention that PersonX wake up early"
PersonX acts upon PersonY,xAttr,PersonX learn the skills,0,1,"PersonX acts upon PersonY, thus it can be seen about PersonX's attribute that PersonX learn the skills"
