head,tail,relation,dataset,label,assertion,assertion_tq
PersonX offer affordance,PersonX rule,xIntent,atomic,1,"PersonX offer affordance, thus it can be seen about PersonX's intention that PersonX rule","If PersonX offer affordance, because PersonX wanted, PersonX rule"
PersonX buy a new camera,PersonX need to pay for it,xNeed,atomic,1,The event PersonX buy a new camera will not happen unless PersonX pay for it,"If PersonX buy a new camera, but before, PersonX needed, PersonX need to pay for it"
PersonX pursue PersonX way,PersonX need to set PeopleX way,xNeed,atomic,1,The event PersonX pursue PersonX way will not happen unless PersonX set PeopleX way,"If PersonX pursue PersonX way, but before, PersonX needed, PersonX need to set PeopleX way"
PersonX pardon PersonY french,PersonY appreciate the courtesy,oEffect,atomic,1,"PersonX pardon PersonY french, thus as an result, PersonY appreciate the courtesy","If PersonX pardon PersonY french, as a result, PersonY or others will, PersonY appreciate the courtesy"
PersonX meet girl,PersonX take to cleaner,oWant,atomic,0,"PersonX meet girl, thus, PersonY want PersonX take to cleaner","If PersonX meet girl, as a result, PersonY or others want to, PersonX take to cleaner"
PersonX find a email,PersonX 's friend hack into email,HinderedBy,atomic2020,1,"The event PersonX find a email will not happen, if PersonX 's friend hack into email","If PersonX find a email, can be hindered by, PersonX 's friend hack into email"
PersonX be a stay at dad,PersonX go to conference,isBefore,atomic2020,1,"After PersonX be a stay at dad, PersonX go to conference","If PersonX be a stay at dad, happens before, PersonX go to conference"
PersonX stay put,PeopleX be too fidgety,HinderedBy,atomic2020,1,"The event PersonX stay put will not happen, if PeopleX be too fidgety","If PersonX stay put, can be hindered by, PeopleX be too fidgety"
PersonX have that,PersonX be sit in there,Causes,glucose,1,"Because PersonX have that, PersonX be sit in there","If PersonX have that, causes, PersonX be sit in there"
it hurt,PersonX be reliable,xAttr,atomic,0,"it hurt, thus it can be seen about PersonX's attribute that PersonX be reliable","If it hurt, PersonX is seen as, PersonX be reliable"
PersonX have a doubt,PersonX feel inspired,xEffect,atomic,0,"PersonX have a doubt, thus as an result, PersonX feel inspired","If PersonX have a doubt, as a result, PersonX will, PersonX feel inspired"
that have that,PersonX pick it,Causes,glucose,0,"Because that have that, PersonX pick it","If that have that, causes, PersonX pick it"
persony do not have time,there be not enough headroom,HinderedBy,atomic2020,0,"The event persony do not have time will not happen, if there be not enough headroom","If persony do not have time, can be hindered by, there be not enough headroom"
PersonX eat PersonY supper,PersonX be guilty,xReact,atomic,1,"PersonX eat PersonY supper, thus as a result on PersonX's emotion, PersonX feel PersonX be guilty","If PersonX eat PersonY supper, as a result, PersonX feels, PersonX be guilty"
PersonX be justified,PersonX talk over head,xReact,atomic,0,"PersonX be justified, thus as a result on PersonX's emotion, PersonX talk over head","If PersonX be justified, as a result, PersonX feels, PersonX talk over head"
PersonX look at friend,PersonX be happy,xReact,atomic,1,"PersonX look at friend, thus as a result on PersonX's emotion, PersonX feel PersonX be happy","If PersonX look at friend, as a result, PersonX feels, PersonX be happy"
PersonX win the raffle,PersonX want to celebrate,xWant,atomic,1,"PersonX win the raffle, thus, PersonX want to celebrate","If PersonX win the raffle, as a result, PersonX wants to, PersonX want to celebrate"
it get stick,PersonX fill it with something,Causes,glucose,0,"Because it get stick, PersonX fill it with something","If it get stick, causes, PersonX fill it with something"
PersonX need help with something,PersonX feel thankful,xReact,glucose,1,"PersonX need help with something, thus as a result on PersonX's emotion, PersonX feel thankful","If PersonX need help with something, as a result, PersonX feels, PersonX feel thankful"
PersonX put PersonY 's money,PersonX be responsible,xReact,atomic,1,"PersonX put PersonY 's money, thus as a result on PersonX's emotion, PersonX feel PersonX be responsible","If PersonX put PersonY 's money, as a result, PersonX feels, PersonX be responsible"
PersonX bring the food,thet forget the food,HinderedBy,atomic2020,1,"The event PersonX bring the food will not happen, if thet forget the food","If PersonX bring the food, can be hindered by, thet forget the food"
PersonX write PersonY essay,PersonY avoid responsibility,oWant,atomic,1,"PersonX write PersonY essay, thus, PersonY want to avoid responsibility","If PersonX write PersonY essay, as a result, PersonY or others want to, PersonY avoid responsibility"
PersonX have to cut something,PersonX have something,Causes,glucose,1,"Because PersonX have to cut something, PersonX have something","If PersonX have to cut something, causes, PersonX have something"
PersonX enjoy day,PersonX be stick at work,HinderedBy,atomic2020,1,"The event PersonX enjoy day will not happen, if PersonX be stick at work","If PersonX enjoy day, can be hindered by, PersonX be stick at work"
PersonX take one look at PersonY,PersonX be abusive,xAttr,atomic,1,"PersonX take one look at PersonY, thus it can be seen about PersonX's attribute that PersonX be abusive","If PersonX take one look at PersonY, PersonX is seen as, PersonX be abusive"
PersonX bite PersonY lip,person x have no tooth,HinderedBy,atomic2020,1,"The event PersonX bite PersonY lip will not happen, if person x have no tooth","If PersonX bite PersonY lip, can be hindered by, person x have no tooth"
PersonX rattle PersonY cage,PersonX be not creative enough,HinderedBy,atomic2020,1,"The event PersonX rattle PersonY cage will not happen, if PersonX be not creative enough","If PersonX rattle PersonY cage, can be hindered by, PersonX be not creative enough"
PersonX save people,PersonX slap leather,isBefore,atomic2020,0,"After PersonX save people, PersonX slap leather","If PersonX save people, happens before, PersonX slap leather"
PersonX turn back to PersonY,PersonX be uninviting,xAttr,atomic,1,"PersonX turn back to PersonY, thus it can be seen about PersonX's attribute that PersonX be uninviting","If PersonX turn back to PersonY, PersonX is seen as, PersonX be uninviting"
PeopleX read,PersonX need to plug ear up,xNeed,atomic,0,The event PeopleX read will not happen unless PersonX plug ear up,"If PeopleX read, but before, PersonX needed, PersonX need to plug ear up"
PersonX be,PersonX do that on time,xReact,atomic,0,"PersonX be, thus as a result on PersonX's emotion, PersonX do that on time","If PersonX be, as a result, PersonX feels, PersonX do that on time"
PersonX work many hour,PersonX sleep many hour,xEffect,glucose,1,"PersonX work many hour, thus as an result, PersonX sleep many hour","If PersonX work many hour, as a result, PersonX will, PersonX sleep many hour"
PersonX change PersonX hairstyle,PersonX want to take a picture of hairstyle,xWant,atomic,1,"PersonX change PersonX hairstyle, thus, PersonX want to take a picture of hairstyle","If PersonX change PersonX hairstyle, as a result, PersonX wants to, PersonX want to take a picture of hairstyle"
PersonX have that,PersonX eat that,Causes,glucose,1,"Because PersonX have that, PersonX eat that","If PersonX have that, causes, PersonX eat that"
PersonX take a shortcut,PersonX call PersonX wife,xNeed,atomic,0,The event PersonX take a shortcut will not happen unless PersonX call PersonX wife,"If PersonX take a shortcut, but before, PersonX needed, PersonX call PersonX wife"
PersonX speak english,PersonX understand the language,xNeed,atomic,1,The event PersonX speak english will not happen unless PersonX understand the language,"If PersonX speak english, but before, PersonX needed, PersonX understand the language"
PersonX love taco,PersonX 's spouse taco taste terrible,HinderedBy,atomic2020,1,"The event PersonX love taco will not happen, if PersonX 's spouse taco taste terrible","If PersonX love taco, can be hindered by, PersonX 's spouse taco taste terrible"
PersonX be in a corner,PersonX have a great time,Causes,glucose,0,"Because PersonX be in a corner, PersonX have a great time","If PersonX be in a corner, causes, PersonX have a great time"
PersonX walk to store,PersonX have trouble with that,xEffect,glucose,1,"PersonX walk to store, thus as an result, PersonX have trouble with that","If PersonX walk to store, as a result, PersonX will, PersonX have trouble with that"
PersonX be at the table,PersonX eat breakfast,Causes,glucose,1,"Because PersonX be at the table, PersonX eat breakfast","If PersonX be at the table, causes, PersonX eat breakfast"
PersonX break down,PersonX head to appointment,xEffect,glucose,0,"PersonX break down, thus as an result, PersonX head to appointment","If PersonX break down, as a result, PersonX will, PersonX head to appointment"
PersonX decide to be careful time,PersonX wear kneepad,isBefore,atomic2020,1,"After PersonX decide to be careful time, PersonX wear kneepad","If PersonX decide to be careful time, happens before, PersonX wear kneepad"
PersonX rush PersonY to vet,PersonX think,isAfter,atomic2020,1,"Before PersonX rush PersonY to vet, PersonX think","If PersonX rush PersonY to vet, happens after, PersonX think"
PersonX rid PersonY 's horse,PersonX have be knock out by dave,HinderedBy,atomic2020,0,"The event PersonX rid PersonY 's horse will not happen, if PersonX have be knock out by dave","If PersonX rid PersonY 's horse, can be hindered by, PersonX have be knock out by dave"
PersonX buy PersonX 's dream car,PersonX take the car for drive,xEffect,atomic,1,"PersonX buy PersonX 's dream car, thus as an result, PersonX take the car for drive","If PersonX buy PersonX 's dream car, as a result, PersonX will, PersonX take the car for drive"
PersonX get high,PersonX make a snowman,xIntent,atomic,0,"PersonX get high, thus it can be seen about PersonX's intention that PersonX make a snowman","If PersonX get high, because PersonX wanted, PersonX make a snowman"
PersonX drink PersonX fill,PersonX get up to go home,xEffect,atomic,1,"PersonX drink PersonX fill, thus as an result, PersonX get up to go home","If PersonX drink PersonX fill, as a result, PersonX will, PersonX get up to go home"
PersonX dominate the conversation,PersonX send to office,xIntent,atomic,0,"PersonX dominate the conversation, thus it can be seen about PersonX's intention that PersonX send to office","If PersonX dominate the conversation, because PersonX wanted, PersonX send to office"
PersonX learn that,PersonX be intelligent,xWant,atomic,0,"PersonX learn that, thus, PersonX want to be intelligent","If PersonX learn that, as a result, PersonX wants to, PersonX be intelligent"
PersonX shape PersonX 's life,PersonX mother be ill,HinderedBy,atomic2020,1,"The event PersonX shape PersonX 's life will not happen, if PersonX mother be ill","If PersonX shape PersonX 's life, can be hindered by, PersonX mother be ill"
PersonX use crutch,PersonX not have to use crutch,xWant,atomic,1,"PersonX use crutch, thus, PersonX want PersonX not have to use crutch","If PersonX use crutch, as a result, PersonX wants to, PersonX not have to use crutch"
PersonX tell PersonY anything,PersonX get a bloody nose,xEffect,atomic,0,"PersonX tell PersonY anything, thus as an result, PersonX get a bloody nose","If PersonX tell PersonY anything, as a result, PersonX will, PersonX get a bloody nose"
PersonX give PersonY a piece,PersonX want to share,xNeed,glucose,1,The event PersonX give PersonY a piece will not happen unless PersonX want to share,"If PersonX give PersonY a piece, but before, PersonX needed, PersonX want to share"
PersonX want to release PeopleX chest,PersonX want to stretch out PersonY 's muscle,xWant,atomic,0,"PersonX want to release PeopleX chest, thus, PersonX want to stretch out PersonY 's muscle","If PersonX want to release PeopleX chest, as a result, PersonX wants to, PersonX want to stretch out PersonY 's muscle"
PersonX find PersonY 's hotel,PersonX be glad,xReact,atomic,1,"PersonX find PersonY 's hotel, thus as a result on PersonX's emotion, PersonX feel PersonX be glad","If PersonX find PersonY 's hotel, as a result, PersonX feels, PersonX be glad"
PersonX increase PersonY 's power,PersonY get tell hello by PersonX,oEffect,atomic,0,"PersonX increase PersonY 's power, thus as an result, PersonY get tell hello by PersonX","If PersonX increase PersonY 's power, as a result, PersonY or others will, PersonY get tell hello by PersonX"
PersonX learn to skate,PersonX go to lake,isAfter,atomic2020,1,"Before PersonX learn to skate, PersonX go to lake","If PersonX learn to skate, happens after, PersonX go to lake"
PersonX send it back,PersonX return it,xIntent,atomic,1,"PersonX send it back, thus it can be seen about PersonX's intention that PersonX return it","If PersonX send it back, because PersonX wanted, PersonX return it"
the wind be so strong,PersonX pass a class,xIntent,atomic,0,"the wind be so strong, thus it can be seen about PersonX's intention that PersonX pass a class","If the wind be so strong, because PersonX wanted, PersonX pass a class"
PersonX make PersonY living,PersonX be magnanimous,xAttr,atomic,0,"PersonX make PersonY living, thus it can be seen about PersonX's attribute that PersonX be magnanimous","If PersonX make PersonY living, PersonX is seen as, PersonX be magnanimous"
PersonX give to PersonY,PersonX can measure it,Causes,glucose,0,"Because PersonX give to PersonY, PersonX can measure it","If PersonX give to PersonY, causes, PersonX can measure it"
PersonX be on the telephone with persony,PersonX start to burn,HinderedBy,atomic2020,0,"The event PersonX be on the telephone with persony will not happen, if PersonX start to burn","If PersonX be on the telephone with persony, can be hindered by, PersonX start to burn"
PersonX wear jacket,PersonX go on something,xEffect,glucose,0,"PersonX wear jacket, thus as an result, PersonX go on something","If PersonX wear jacket, as a result, PersonX will, PersonX go on something"
PersonX get demote,PersonX would get into it,xEffect,atomic,0,"PersonX get demote, thus as an result, PersonX would get into it","If PersonX get demote, as a result, PersonX will, PersonX would get into it"
PersonX lose PersonY money,PersonX borrow money from PersonY,isAfter,glucose,1,"Before PersonX lose PersonY money, PersonX borrow money from PersonY","If PersonX lose PersonY money, happens after, PersonX borrow money from PersonY"
PersonX buy a new puppy,PersonX want to buy toy,xWant,atomic,1,"PersonX buy a new puppy, thus, PersonX want to buy toy","If PersonX buy a new puppy, as a result, PersonX wants to, PersonX want to buy toy"
PersonX look down at foot,PeopleX be not hungry anymore,HinderedBy,atomic2020,0,"The event PersonX look down at foot will not happen, if PeopleX be not hungry anymore","If PersonX look down at foot, can be hindered by, PeopleX be not hungry anymore"
PersonX get PersonY 's friend together,PersonX be sociable,xAttr,atomic,1,"PersonX get PersonY 's friend together, thus it can be seen about PersonX's attribute that PersonX be sociable","If PersonX get PersonY 's friend together, PersonX is seen as, PersonX be sociable"
PersonX go back,PersonX be hardwork,xAttr,atomic,1,"PersonX go back, thus it can be seen about PersonX's attribute that PersonX be hardwork","If PersonX go back, PersonX is seen as, PersonX be hardwork"
PeopleX want to go back,PersonX have forget PersonX wallet,xReact,atomic,0,"PeopleX want to go back, thus as a result on PersonX's emotion, PersonX have forget PersonX wallet","If PeopleX want to go back, as a result, PersonX feels, PersonX have forget PersonX wallet"
PersonX have that,PersonX eat PersonX,Causes,glucose,1,"Because PersonX have that, PersonX eat PersonX","If PersonX have that, causes, PersonX eat PersonX"
PersonX be start a new job,PersonX need to leave previous job,xNeed,atomic,1,The event PersonX be start a new job will not happen unless PersonX leave previous job,"If PersonX be start a new job, but before, PersonX needed, PersonX need to leave previous job"
PersonX throw a fit,PersonX calm down,xEffect,glucose,1,"PersonX throw a fit, thus as an result, PersonX calm down","If PersonX throw a fit, as a result, PersonX will, PersonX calm down"
PersonX mow the lawn,PersonX put gas in lawnmower,isAfter,atomic2020,1,"Before PersonX mow the lawn, PersonX put gas in lawnmower","If PersonX mow the lawn, happens after, PersonX put gas in lawnmower"
PersonX keep PersonY in condition,PersonY be healthy,xIntent,atomic,1,"PersonX keep PersonY in condition, thus it can be seen about PersonX's intention that PersonY be healthy","If PersonX keep PersonY in condition, because PersonX wanted, PersonY be healthy"
PersonX take advantage of situation,PersonX be advantageous,xAttr,atomic,1,"PersonX take advantage of situation, thus it can be seen about PersonX's attribute that PersonX be advantageous","If PersonX take advantage of situation, PersonX is seen as, PersonX be advantageous"
PersonX be icy,PersonX fly back,xAttr,atomic,0,"PersonX be icy, thus it can be seen about PersonX's attribute that PersonX fly back","If PersonX be icy, PersonX is seen as, PersonX fly back"
PersonX go to store,PersonX want to drop off PersonY 's mother,xWant,atomic,1,"PersonX go to store, thus, PersonX want to drop off PersonY 's mother","If PersonX go to store, as a result, PersonX wants to, PersonX want to drop off PersonY 's mother"
PersonX win,PersonX limit PersonY 's ability,xEffect,atomic,0,"PersonX win, thus as an result, PersonX limit PersonY 's ability","If PersonX win, as a result, PersonX will, PersonX limit PersonY 's ability"
PersonX make PersonY application,PersonX need to review it,xNeed,atomic,1,The event PersonX make PersonY application will not happen unless PersonX review it,"If PersonX make PersonY application, but before, PersonX needed, PersonX need to review it"
PersonX go to pub,PersonX smell of smoke,HasSubEvent,cn,1,The event PersonX go to pub includes the event/action that PersonX smell of smoke,"If PersonX go to pub, includes the event or action, PersonX smell of smoke"
PersonY be thankful for person,PersonX look at wife,oReact,atomic,0,"PersonY be thankful for person, thus as a result on PersonY's emotion, PersonX look at wife","If PersonY be thankful for person, as a result, PersonY or others feel, PersonX look at wife"
PersonX want to touch hair,PersonX want to check PersonY wound,xWant,atomic,0,"PersonX want to touch hair, thus, PersonX want to check PersonY wound","If PersonX want to touch hair, as a result, PersonX wants to, PersonX want to check PersonY wound"
PersonX see PersonX boyfriend,PersonX spend time with one,xIntent,atomic,1,"PersonX see PersonX boyfriend, thus it can be seen about PersonX's intention that PersonX spend time with one","If PersonX see PersonX boyfriend, because PersonX wanted, PersonX spend time with one"
PersonX work for week,PersonX have financial trouble,xNeed,atomic,1,The event PersonX work for week will not happen unless PersonX have financial trouble,"If PersonX work for week, but before, PersonX needed, PersonX have financial trouble"
PersonX bake a pie,PersonX want to give PersonX friend,xWant,atomic,1,"PersonX bake a pie, thus, PersonX want to give PersonX friend","If PersonX bake a pie, as a result, PersonX wants to, PersonX want to give PersonX friend"
PersonX write,PersonX have,xWant,atomic,1,"PersonX write, thus, PersonX want to have","If PersonX write, as a result, PersonX wants to, PersonX have"
PersonX become rich,PersonX owe a money in debt,HinderedBy,atomic2020,1,"The event PersonX become rich will not happen, if PersonX owe a money in debt","If PersonX become rich, can be hindered by, PersonX owe a money in debt"
PersonX turn tail,PersonX avoid careless,xWant,glucose,1,"PersonX turn tail, thus, PersonX want to avoid careless","If PersonX turn tail, as a result, PersonX wants to, PersonX avoid careless"
PersonX take phone call,PersonX order place,HasSubEvent,atomic,1,The event PersonX take phone call includes the event/action that PersonX order place,"If PersonX take phone call, includes the event or action, PersonX order place"
PersonX break the cycle,PersonX take PersonY on date,xAttr,atomic,0,"PersonX break the cycle, thus it can be seen about PersonX's attribute that PersonX take PersonY on date","If PersonX break the cycle, PersonX is seen as, PersonX take PersonY on date"
PeopleX be friend,PersonX go to home,xWant,glucose,1,"PeopleX be friend, thus, PersonX want to go to home","If PeopleX be friend, as a result, PersonX wants to, PersonX go to home"
PersonX pass PersonY law,PersonY gain credibility,oEffect,atomic,1,"PersonX pass PersonY law, thus as an result, PersonY gain credibility","If PersonX pass PersonY law, as a result, PersonY or others will, PersonY gain credibility"
PersonX study in library,PersonX go to library,xNeed,atomic,1,The event PersonX study in library will not happen unless PersonX go to library,"If PersonX study in library, but before, PersonX needed, PersonX go to library"
PersonX want to popularise PersonX brand,PersonX want to have some fun in life,xWant,atomic,0,"PersonX want to popularise PersonX brand, thus, PersonX want to have some fun in life","If PersonX want to popularise PersonX brand, as a result, PersonX wants to, PersonX want to have some fun in life"
PersonX be represent,PersonY be good about recall,oReact,atomic,0,"PersonX be represent, thus as a result on PersonY's emotion, PersonY feel PersonY be good about recall","If PersonX be represent, as a result, PersonY or others feel, PersonY be good about recall"
PersonX go half,PersonX be happy,xReact,atomic,1,"PersonX go half, thus as a result on PersonX's emotion, PersonX feel PersonX be happy","If PersonX go half, as a result, PersonX feels, PersonX be happy"
PersonX want PeopleX head,PersonX want to publish,xWant,atomic,0,"PersonX want PeopleX head, thus, PersonX want to publish","If PersonX want PeopleX head, as a result, PersonX wants to, PersonX want to publish"
PersonX want to take picture,PersonX have a camera,xNeed,atomic,1,The event PersonX want to take picture will not happen unless PersonX have a camera,"If PersonX want to take picture, but before, PersonX needed, PersonX have a camera"
PersonX finally ask PersonY,PersonY be surprised,oReact,atomic,1,"PersonX finally ask PersonY, thus as a result on PersonY's emotion, PersonY feel PersonY be surprised","If PersonX finally ask PersonY, as a result, PersonY or others feel, PersonY be surprised"
PersonX be play baseball,the weather be not good,HinderedBy,atomic2020,1,"The event PersonX be play baseball will not happen, if the weather be not good","If PersonX be play baseball, can be hindered by, the weather be not good"
PersonX return the wallet,PersonX tell PeopleX not loose it again,xWant,atomic,1,"PersonX return the wallet, thus, PersonX want PersonX tell PeopleX not loose it again","If PersonX return the wallet, as a result, PersonX wants to, PersonX tell PeopleX not loose it again"
PersonX know everyone,PersonX want to arrange a protest,xWant,atomic,1,"PersonX know everyone, thus, PersonX want to arrange a protest","If PersonX know everyone, as a result, PersonX wants to, PersonX want to arrange a protest"
PersonY commit a horrible crime,person x do not have a bed,HinderedBy,atomic2020,0,"The event PersonY commit a horrible crime will not happen, if person x do not have a bed","If PersonY commit a horrible crime, can be hindered by, person x do not have a bed"
PersonX want to earn better pay,PersonX want to help PeopleX,xWant,atomic,0,"PersonX want to earn better pay, thus, PersonX want to help PeopleX","If PersonX want to earn better pay, as a result, PersonX wants to, PersonX want to help PeopleX"
PersonX show everyone,PersonX dad tell PersonY,HinderedBy,atomic2020,1,"The event PersonX show everyone will not happen, if PersonX dad tell PersonY","If PersonX show everyone, can be hindered by, PersonX dad tell PersonY"
PersonX love PersonX motorcycle,PersonX feel umcomfortable,xNeed,atomic,0,The event PersonX love PersonX motorcycle will not happen unless PersonX feel umcomfortable,"If PersonX love PersonX motorcycle, but before, PersonX needed, PersonX feel umcomfortable"
PersonX leave the bag,PersonY be appreciative,oReact,atomic,1,"PersonX leave the bag, thus as a result on PersonY's emotion, PersonY feel PersonY be appreciative","If PersonX leave the bag, as a result, PersonY or others feel, PersonY be appreciative"
PersonX wet PersonY 's lip,PersonX receive praise from other,xEffect,atomic,0,"PersonX wet PersonY 's lip, thus as an result, PersonX receive praise from other","If PersonX wet PersonY 's lip, as a result, PersonX will, PersonX receive praise from other"
PersonX play sport,PersonX get exercise,xEffect,atomic,1,"PersonX play sport, thus as an result, PersonX get exercise","If PersonX play sport, as a result, PersonX will, PersonX get exercise"
PersonX do not want to intrude on space,PersonX take part in process,HinderedBy,atomic2020,0,"The event PersonX do not want to intrude on space will not happen, if PersonX take part in process","If PersonX do not want to intrude on space, can be hindered by, PersonX take part in process"
PersonX be with PersonY,PersonX take a picture of PersonY,xEffect,glucose,1,"PersonX be with PersonY, thus as an result, PersonX take a picture of PersonY","If PersonX be with PersonY, as a result, PersonX will, PersonX take a picture of PersonY"
PersonX be exhaust,PersonX turn on side,HinderedBy,atomic2020,0,"The event PersonX be exhaust will not happen, if PersonX turn on side","If PersonX be exhaust, can be hindered by, PersonX turn on side"
PersonX tangle PersonY 's finger,PersonX grab PersonY hand,xNeed,atomic,1,The event PersonX tangle PersonY 's finger will not happen unless PersonX grab PersonY hand,"If PersonX tangle PersonY 's finger, but before, PersonX needed, PersonX grab PersonY hand"
PeopleX make camp,it be in a container,Causes,glucose,0,"Because PeopleX make camp, it be in a container","If PeopleX make camp, causes, it be in a container"
PersonX learn,PersonX intent to learn to make a sweater,xIntent,atomic,1,"PersonX learn, thus it can be seen about PersonX's intention that PersonX intent to learn to make a sweater","If PersonX learn, because PersonX wanted, PersonX intent to learn to make a sweater"
PersonX resolve PersonX problem,PersonX put up flier,xIntent,atomic,0,"PersonX resolve PersonX problem, thus it can be seen about PersonX's intention that PersonX put up flier","If PersonX resolve PersonX problem, because PersonX wanted, PersonX put up flier"
PersonX flip PersonX lid,PersonX be mean,xAttr,atomic,1,"PersonX flip PersonX lid, thus it can be seen about PersonX's attribute that PersonX be mean","If PersonX flip PersonX lid, PersonX is seen as, PersonX be mean"
PersonX try to enjoy it,PersonX operate something,xEffect,atomic,0,"PersonX try to enjoy it, thus as an result, PersonX operate something","If PersonX try to enjoy it, as a result, PersonX will, PersonX operate something"
PersonX have PersonY,PersonY get PersonX,oWant,glucose,1,"PersonX have PersonY, thus, PersonY want to get PersonX","If PersonX have PersonY, as a result, PersonY or others want to, PersonY get PersonX"
PersonX need to see PeopleX income,PersonX find day,xNeed,atomic,0,The event PersonX need to see PeopleX income will not happen unless PersonX find day,"If PersonX need to see PeopleX income, but before, PersonX needed, PersonX find day"
PersonX start exercise more,PersonX want to be healthy,xWant,atomic,1,"PersonX start exercise more, thus, PersonX want to be healthy","If PersonX start exercise more, as a result, PersonX wants to, PersonX want to be healthy"
PersonX move PersonY thing,PersonX be tidy,xAttr,atomic,1,"PersonX move PersonY thing, thus it can be seen about PersonX's attribute that PersonX be tidy","If PersonX move PersonY thing, PersonX is seen as, PersonX be tidy"
PersonX be happy,PersonX be content,xAttr,atomic,1,"PersonX be happy, thus it can be seen about PersonX's attribute that PersonX be content","If PersonX be happy, PersonX is seen as, PersonX be content"
PersonX begin to do that,PersonX like do that,xIntent,glucose,1,"PersonX begin to do that, thus it can be seen about PersonX's intention that PersonX like do that","If PersonX begin to do that, because PersonX wanted, PersonX like do that"
PersonX give PersonY strength,PersonX need to be well,xNeed,atomic,1,The event PersonX give PersonY strength will not happen unless PersonX be well,"If PersonX give PersonY strength, but before, PersonX needed, PersonX need to be well"
PersonX become concerned,PersonY be enforce,oReact,atomic,0,"PersonX become concerned, thus as a result on PersonY's emotion, PersonY feel PersonY be enforce","If PersonX become concerned, as a result, PersonY or others feel, PersonY be enforce"
PersonX be in the kitchen,PersonX be in the outdoors,Causes,glucose,0,"Because PersonX be in the kitchen, PersonX be in the outdoors","If PersonX be in the kitchen, causes, PersonX be in the outdoors"
PersonX tell PersonX kid,PersonY be indifferent,oReact,atomic,1,"PersonX tell PersonX kid, thus as a result on PersonY's emotion, PersonY feel PersonY be indifferent","If PersonX tell PersonX kid, as a result, PersonY or others feel, PersonY be indifferent"
the nursery give PeopleX dead plant,PersonX have a green thumb,HinderedBy,atomic2020,0,"The event the nursery give PeopleX dead plant will not happen, if PersonX have a green thumb","If the nursery give PeopleX dead plant, can be hindered by, PersonX have a green thumb"
PersonX keep PersonX temper,PersonX avoid a fight,xEffect,atomic,1,"PersonX keep PersonX temper, thus as an result, PersonX avoid a fight","If PersonX keep PersonX temper, as a result, PersonX will, PersonX avoid a fight"
PersonX feel obligated,PersonX look into book,xAttr,atomic,0,"PersonX feel obligated, thus it can be seen about PersonX's attribute that PersonX look into book","If PersonX feel obligated, PersonX is seen as, PersonX look into book"
PersonX lose the plot,PersonX need to buy it for work,HinderedBy,atomic2020,0,"The event PersonX lose the plot will not happen, if PersonX need to buy it for work","If PersonX lose the plot, can be hindered by, PersonX need to buy it for work"
PersonX complete PersonY 's work,PersonX surprise PersonZ,xIntent,atomic,1,"PersonX complete PersonY 's work, thus it can be seen about PersonX's intention that PersonX surprise PersonZ","If PersonX complete PersonY 's work, because PersonX wanted, PersonX surprise PersonZ"
PersonX take out the trash,PersonX be rustling,xAttr,atomic,1,"PersonX take out the trash, thus it can be seen about PersonX's attribute that PersonX be rustling","If PersonX take out the trash, PersonX is seen as, PersonX be rustling"
PersonX feel guilty,PersonX be be mean,xAttr,atomic,1,"PersonX feel guilty, thus it can be seen about PersonX's attribute that PersonX be be mean","If PersonX feel guilty, PersonX is seen as, PersonX be be mean"
PersonX quickly change,PersonX want to get in car,xWant,atomic,1,"PersonX quickly change, thus, PersonX want to get in car","If PersonX quickly change, as a result, PersonX wants to, PersonX want to get in car"
PersonY call PeopleX,it be PersonX,Causes,cn,0,"Because PersonY call PeopleX, it be PersonX","If PersonY call PeopleX, causes, it be PersonX"
PersonX continue PersonY 's course,PersonX be get poor grade,HinderedBy,atomic2020,1,"The event PersonX continue PersonY 's course will not happen, if PersonX be get poor grade","If PersonX continue PersonY 's course, can be hindered by, PersonX be get poor grade"
PersonX go back for wallet,PersonX be yell at PersonY,isBefore,atomic2020,0,"After PersonX go back for wallet, PersonX be yell at PersonY","If PersonX go back for wallet, happens before, PersonX be yell at PersonY"
PeopleX be too popular,PersonX have a broken finger,HinderedBy,atomic2020,0,"The event PeopleX be too popular will not happen, if PersonX have a broken finger","If PeopleX be too popular, can be hindered by, PersonX have a broken finger"
PersonX bar PersonY way,PersonX need to find PersonY,xNeed,atomic,1,The event PersonX bar PersonY way will not happen unless PersonX find PersonY,"If PersonX bar PersonY way, but before, PersonX needed, PersonX need to find PersonY"
PersonX ask PersonY,PersonX be active,xAttr,atomic,1,"PersonX ask PersonY, thus it can be seen about PersonX's attribute that PersonX be active","If PersonX ask PersonY, PersonX is seen as, PersonX be active"
PersonY be security,PersonX win the fight,oReact,atomic,0,"PersonY be security, thus as a result on PersonY's emotion, PersonX win the fight","If PersonY be security, as a result, PersonY or others feel, PersonX win the fight"
PersonX want to enjoy family,PersonX resolve issue,xWant,atomic,0,"PersonX want to enjoy family, thus, PersonX want to resolve issue","If PersonX want to enjoy family, as a result, PersonX wants to, PersonX resolve issue"
PersonX want to follow persony,PersonX keep PersonY close,xWant,atomic,0,"PersonX want to follow persony, thus, PersonX want to keep PersonY close","If PersonX want to follow persony, as a result, PersonX wants to, PersonX keep PersonY close"
PersonX get more skilful at tennis,PersonX restore the furniture,xEffect,glucose,0,"PersonX get more skilful at tennis, thus as an result, PersonX restore the furniture","If PersonX get more skilful at tennis, as a result, PersonX will, PersonX restore the furniture"
